Date,GS,JPM,KO,MA,PEP,V
2022-12-29,321.7991027832031,124.3291244506836,59.29458236694336,342.59368896484375,168.06610107421875,203.8131103515625
2022-12-30,321.7522888183594,125.15042877197266,58.979339599609375,342.1214904785156,166.84703063964844,203.51927185058594
2023-01-03,324.41339111328125,126.10233306884766,58.367374420166016,341.2064514160156,165.69261169433594,203.1567840576172
2023-01-04,325.8002014160156,127.27824401855469,58.33955764770508,349.42181396484375,165.2862548828125,208.27024841308594
2023-01-05,322.1083068847656,127.25003051757812,57.67197799682617,346.09625244140625,163.55923461914062,206.8008575439453
2023-01-06,326.15625,129.68507385253906,58.78461837768555,362.32696533203125,167.25340270996094,213.3052978515625
2023-01-09,330.7663269042969,129.14913940429688,58.05213165283203,365.5790100097656,165.61874389648438,214.13796997070312
2023-01-10,334.8516845703125,130.3055877685547,57.60707473754883,365.61846923828125,164.2519073486328,216.57716369628906
2023-01-11,341.5232849121094,131.27392578125,57.49580764770508,372.36883544921875,164.4365692138672,217.5665283203125
2023-01-12,346.639404296875,131.14230346679688,56.75404357910156,374.29046630859375,162.3401641845703,219.0554962158203
2023-01-13,350.4437255859375,134.45164489746094,56.95802688598633,370.0628356933594,161.84146118164062,218.50694274902344
2023-01-17,327.8803405761719,132.37388610839844,57.1898307800293,369.55047607421875,162.5987548828125,218.44818115234375
2023-01-18,327.1026611328125,128.39703369140625,55.45595932006836,363.5587463378906,158.49819946289062,214.98043823242188
2023-01-19,328.6581115722656,126.68594360351562,55.37251663208008,362.593017578125,156.66036987304688,215.91102600097656
2023-01-20,320.30926513671875,126.9961929321289,55.70630645751953,370.8118591308594,156.89126586914062,219.73141479492188
2023-01-23,327.1495056152344,129.05516052246094,55.84538650512695,373.068603515625,156.18939208984375,219.6040802001953
2023-01-24,326.3904724121094,130.1645050048828,56.142093658447266,374.4875793457031,157.63934326171875,219.3200225830078
2023-01-25,327.6086120605469,130.79443359375,56.49443435668945,376.8330383300781,158.7845001220703,220.3093719482422
2023-01-26,332.6122741699219,131.60293579101562,56.38317108154297,371.75787353515625,157.2052764892578,220.12326049804688
2023-01-27,331.42230224609375,131.92262268066406,56.086463928222656,368.5945129394531,156.65115356445312,226.71588134765625
2023-01-30,334.94549560546875,130.80381774902344,56.22554016113281,365.726806640625,156.5218505859375,224.42364501953125
2023-01-31,342.76953125,131.5841827392578,56.85603713989258,365.21435546875,157.94410705566406,225.51100158691406
2023-02-01,342.67584228515625,131.23629760742188,56.86531066894531,368.64373779296875,158.44281005859375,226.18692016601562
2023-02-02,346.19903564453125,130.6251983642578,55.89175033569336,369.4913330078125,156.97438049316406,224.874267578125
2023-02-03,346.6487731933594,132.6465301513672,55.47451400756836,368.476318359375,156.18939208984375,225.4326629638672
2023-02-06,347.4452209472656,133.42684936523438,55.789756774902344,367.5499267578125,158.68295288085938,224.7567138671875
2023-02-07,350.8184814453125,135.05332946777344,55.69703674316406,369.6095886230469,158.44281005859375,226.59835815429688
2023-02-08,351.474365234375,134.10379028320312,55.37251663208008,364.9679870605469,158.0734100341797,225.5011749267578
2023-02-09,344.81219482421875,132.01663208007812,55.27979278564453,365.0369873046875,159.56954956054688,225.10858154296875
2023-02-10,347.8950500488281,132.5995330810547,55.27979278564453,361.4991455078125,162.72804260253906,222.99835205078125
2023-02-13,350.46240234375,134.03797912597656,56.18844985961914,365.4410095214844,164.17803955078125,224.6472930908203
2023-02-14,348.363525390625,134.63023376464844,55.25197982788086,364.5836486816406,162.33091735839844,225.14785766601562
2023-02-15,350.7622985839844,135.19435119628906,55.25197982788086,364.2682800292969,162.55258178710938,224.68653869628906
2023-02-16,346.8830871582031,133.33285522460938,54.90892028808594,362.20867919921875,162.09080505371094,221.6536865234375
2023-02-17,345.29010009765625,133.72772216796875,55.74338912963867,355.8819885253906,162.8019256591797,219.4256591796875
2023-02-21,338.3749084472656,131.27392578125,55.446685791015625,350.7870788574219,162.7095947265625,216.5400390625
2023-02-22,338.1594543457031,130.2679443359375,55.613590240478516,349.8114318847656,162.65415954589844,215.95114135742188
2023-02-23,340.64251708984375,131.3115234375,55.715579986572266,350.36334228515625,162.8296356201172,217.04058837890625
2023-02-24,340.9330139160156,132.49612426757812,55.48377990722656,347.9884033203125,162.50640869140625,215.48980712890625
2023-02-27,342.5072021484375,133.6525115966797,55.465232849121094,350.3140869140625,162.46022033691406,216.27505493164062
2023-02-28,329.50140380859375,134.7713165283203,55.17780303955078,350.1268615722656,160.26217651367188,215.8726043701172
2023-03-01,326.7457275390625,134.0191650390625,54.57511901855469,348.36285400390625,158.23040771484375,214.3218536376953
2023-03-02,329.4541931152344,132.62774658203125,55.37251663208008,350.4028015136719,161.14991760253906,215.00889587402344
2023-03-03,336.9945983886719,135.06272888183594,55.11289596557617,356.24658203125,160.99183654785156,219.63177490234375
2023-03-06,336.9567565917969,134.2730255126953,55.96592330932617,361.59765625,161.3173065185547,222.55667114257812
2023-03-07,326.60418701171875,130.3243408203125,55.64140319824219,354.7093200683594,160.51766967773438,219.04287719726562
2023-03-08,329.6335144042969,129.55343627929688,55.66922378540039,353.8125305175781,160.9546661376953,218.08099365234375
2023-03-09,322.8387145996094,122.53985595703125,55.131439208984375,349.2891540527344,159.73666381835938,215.94131469726562
2023-03-10,309.230224609375,125.65177154541016,54.8996467590332,342.0657043457031,159.9504852294922,212.1428985595703
2023-03-13,297.7545166015625,123.39540100097656,55.45595932006836,339.7005920410156,161.51254272460938,210.50375366210938
