,ADF Statistic,p_val,B_1,B_0
"('JPM', 'GS')",-3.33885499663937,0.013228510529049598,0.5541081930740326,3.0617391781820387
"('PEP', 'KO')",-3.1223705341698764,0.024941356660985792,0.737739244182472,0.2740635054339706
"('V', 'MA')",-3.3993143068450298,0.010982269061817342,0.9519513204912715,0.7542441036645049
